dataset	hash_string_mine hash_string_1 hash_string_2 hash_string_3
aeneid	1.45823e-08	6.82197e-09	5.67505e-09	6.70281e-09
confucian	5.9555e-08	2.7134e-08	2.50367e-08	2.70466e-08
divine	5.20391e-08	2.29842e-08	2.14996e-08	2.34879e-08
origin-darwin	8.29785e-08	3.77236e-08	3.52801e-08	3.86608e-08
war-and-peace	1.07655e-07	4.98756e-08	4.69848e-08	5.16686e-08
uid	3.40457e-08	1.80916e-08	1.60877e-08	1.77822e-08
population	4.19418e-08	2.23455e-08	2.20713e-08	2.22752e-08
location	5.69396e-08	3.07269e-08	2.90323e-08	3.12261e-08
coords	7.53968e-08	3.89887e-08	3.73855e-08	4.01348e-08
original 1.18189e-07	7.53547e-08	7.01796e-08	7.47711e-08
