dataset	hash_string_mine hash_string_1 hash_string_2 hash_string_3
aeneid	6.37795e-07	3.91683e-07	2.49598e-07	2.56301e-07
confucian	2.49969e-06	1.5064e-06	9.40646e-07	1.03494e-06
divine	2.13782e-06	1.27471e-06	7.92305e-07	8.97337e-07
origin-darwin	3.33099e-06	1.97381e-06	1.21797e-06	1.41432e-06
war-and-peace	4.26943e-06	2.57941e-06	1.60198e-06	1.82498e-06
uid	1.42467e-06	9.52406e-07	5.3682e-07	6.13497e-07
population	1.95907e-06	1.28505e-06	7.95622e-07	8.40348e-07
location	2.59498e-06	1.72448e-06	1.00767e-06	1.16162e-06
coords	3.26745e-06	2.18666e-06	1.27341e-06	1.43956e-06
original 4.32191e-06	3.51703e-06	1.63945e-06	2.13122e-06
