dataset	X	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12
aeneid	5336	254.624	768.298	5280.01	890.361	1631.32	8919.58	270.252	924.02	7996.47	196.202	690.742	6152.82
confucian	1732	79.0157	197.569	1812.01	441.548	619.66	2420.25	1589.57	222.808	2064.2	98.726	180.643	1518.92
divine	2846	127.344	378.881	2861.8	883.792	1142.92	4709.89	256.039	487.152	4245.96	173.418	407.746	3061.59
origin-darwin	2376	108.609	332.545	2235.77	379.227	781.434	4218.9	1133.85	507.153	4101.87	201.296	384.333	3029.84
war-and-peace	2104	79.644	302.163	2103.97	433.214	868.653	4359.13	1327.31	528.25	3986.29	79.644	395.595	3248.56
uid	11292	475.094	1620.59	11178	36785.1	38267.5	89073.1	450.598	1995.97	16309.6	360.806	1553.65	12490.4
population	27546	680.221	4449.22	30793.5	25791.1	29520.4	160920	2727.38	4935.09	114248	854.872	2629.35	32504.9
location	14058	582.566	1981.93	14236.6	1273.54	3285.83	21490.4	650.881	2572.93	20853.4	435.308	1911.39	15195.7
coords	11058	513.84	1687.85	11012	20214.5	21749	48312.9	551.839	2076.71	16094.3	355.485	1600.31	12410.7
original 11046	511.824	1592.42	11198	901.485	2432.42	16875	465.532	2058.73	16418.7	294.217	1506.44	12240.4
